;volume;subj_response;obj_response
0;-14.0;1;0
1;-14.25;1;0
2;-14.5;1;1
3;-14.25;1;1
4;-14.0;1;0
5;-14.25;1;0
6;-14.5;1;1
7;-14.25;0;1
8;-14.5;0;0
9;-14.75;1;0
10;-15.0;1;1
11;-14.75;1;1
12;-14.5;1;1
13;-14.25;1;1
14;-14.0;1;1
15;-13.75;1;1
16;-13.5;1;1
17;-13.25;1;1
18;-13.0;1;1
19;-12.75;1;0
20;-13.0;1;0
21;-13.25;0;1
22;-13.5;1;1
23;-13.25;1;1
24;-13.0;1;0
25;-13.25;1;1
26;-13.0;1;1
27;-12.75;1;1
28;-12.5;1;1
29;-12.25;1;1
30;-12.0;1;1
31;-11.75;1;1
32;-11.5;1;1
33;-11.25;1;1
34;-11.0;1;0
35;-11.25;1;1
36;-11.0;1;1
37;-10.75;1;1
38;-10.5;1;1
39;-10.25;1;1
40;-10.0;1;1
41;-9.75;1;1
42;-9.5;1;1
43;-9.25;1;1
44;-9.0;1;1
45;-8.75;1;1
46;-8.5;1;1
47;-8.25;1;1
48;-8.0;1;0
49;-8.25;1;0
50;-8.5;1;0
51;-8.75;1;0
52;-9.0;1;1
53;-8.75;1;1
54;-8.5;0;0
55;-8.75;1;1
56;-8.5;1;0
57;-8.75;0;0
58;-9.0;0;0
59;-9.25;1;0
60;-9.5;1;1
61;-9.25;1;0
62;-9.5;1;1
63;-9.25;1;1
64;-9.0;1;1
65;-8.75;1;1
66;-8.5;1;1
67;-8.25;1;0
68;-8.5;1;1
69;-8.25;1;1
70;-8.0;1;1
71;-7.75;1;0
72;-8.0;0;0
73;-8.25;1;1
74;-8.0;1;1
75;-7.75;1;0
76;-8.0;1;1
77;-7.75;1;1
78;-7.5;1;1
79;-7.25;1;1
80;-7.0;1;1
81;-6.75;1;1
82;-6.5;1;1
83;-6.25;1;1
84;-6.0;1;1
85;-5.75;1;0
86;-6.0;1;1
87;-5.75;1;1
88;-5.5;1;1
89;-5.25;0;0
90;-5.5;1;1
91;-5.25;1;1
92;-5.0;1;1
93;-4.75;1;1
94;-4.5;1;0
95;-4.75;0;1
96;-5.0;1;1
97;-4.75;1;1
98;-4.5;1;0
99;-4.75;1;0
100;-5.0;1;1
101;-4.75;1;0
102;-5.0;1;1
103;-4.75;1;1
104;-4.5;1;0
105;-4.75;1;1
106;-4.5;1;1
107;-4.25;1;1
108;-4.0;1;1
109;-3.75;1;1
110;-3.5;1;1
111;-3.25;1;1
112;-3.0;1;1
113;-2.75;1;1
114;-2.5;1;1
115;-2.25;1;1
116;-2.0;1;1
117;-1.75;1;1
118;-1.5;1;0
119;-1.75;1;1
120;-1.5;1;1
121;-1.25;1;1
122;-1.0;1;1
123;-0.75;1;1
124;-0.5;1;0
125;-0.75;1;0
126;-1.0;1;1
127;-0.75;1;1
128;-0.5;1;1
129;-0.25;1;1
130;0.0;1;1
131;0.25;1;0
132;0.0;1;1
133;0.25;1;0
134;0.0;1;1
135;0.25;1;1
136;0.5;1;1
137;0.75;1;0
138;0.5;1;1
139;0.75;1;1
140;1.0;1;1
141;1.25;0;0
142;1.0;1;1
143;1.25;1;1
144;1.5;0;1
145;1.25;1;0
146;1.0;1;0
147;0.75;1;1
148;1.0;0;0
149;0.75;1;1
150;1.0;1;1
151;1.25;1;1
152;1.5;0;0
153;1.25;1;1
154;1.5;1;0
155;1.25;0;0
156;1.0;1;1
157;1.25;1;1
158;1.5;1;1
159;1.75;1;0
160;1.5;1;1
161;1.75;1;1
162;2.0;1;0
163;1.75;1;0
164;1.5;0;1
165;1.25;1;0
166;1.0;1;1
167;1.25;1;0
168;1.0;1;1
169;1.25;1;0
170;1.0;1;1
171;1.25;1;1
172;1.5;0;0
173;1.25;1;1
174;1.5;1;0
175;1.25;1;1
176;1.5;1;1
177;1.75;1;1
178;2.0;0;0
179;1.75;1;1
180;2.0;1;1
181;2.25;0;0
182;2.0;0;1
183;1.75;0;0
184;1.5;1;1
185;1.75;1;0
186;1.5;1;1
187;1.75;1;1
188;2.0;0;1
189;1.75;1;1
190;2.0;1;1
191;2.25;1;0
192;2.0;1;1
193;2.25;0;0
194;2.0;0;0
195;1.75;0;0
196;1.5;1;1
197;1.75;1;1
198;2.0;0;0
199;1.75;1;0
